id,input,expected_output,context,task_type,metadata
b3d1d8f9-3c9e-48d9-a314-02f96906e8e2,"Summarize the following text:
The Industrial Revolution, now also known as the First Industrial Revolution, was the transition to new manufacturing processes in Europe and the United States, in the period from about 1760 to sometime between 1820 and 1840.",The Industrial Revolution was a period of transition to new manufacturing processes from 1760 to 1840.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
d2f45fe7-c7ff-4157-bc86-3aa3b6588e62,"Summarize the following text:
Photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy that, through cellular respiration, can later be released to fuel the organism's activities.",Photosynthesis is how plants convert light into chemical energy.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
23e335ac-4e98-4ade-b2af-680bd6e8195a,"Summarize the following text:
The Great Wall of China is a series of fortifications that were built across the historical northern borders of ancient Chinese states and Imperial China as protection against various nomadic groups from the Eurasian Steppe.",The Great Wall of China is a historic fortification built to protect ancient China from nomadic invasions.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
0532334c-acb9-4a35-8b33-8419c30e3181,"Summarize the following text:
A black hole is a region of spacetime where gravity is so strong that nothing—no particles or even electromagnetic radiation such as light—can escape from it. The theory of general relativity predicts that a sufficiently compact mass can deform spacetime to form a black hole.",A black hole is an area of space with gravity so intense that not even light can escape.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
901b264d-edf5-48ba-b377-c60a47a2c5ac,"Summarize the following text:
Artificial intelligence is intelligence demonstrated by machines, as opposed to intelligence of humans and other animals. Example tasks in which this is done include speech recognition, computer vision, translation between (natural) languages, as well as other mappings of inputs.",AI is machine intelligence used for tasks like speech recognition and translation.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
d6a921aa-7ca4-4f03-a993-dd9d1de9e70e,"Summarize the following text:
The Industrial Revolution, now also known as the First Industrial Revolution, was the transition to new manufacturing processes in Europe and the United States, in the period from about 1760 to sometime between 1820 and 1840.",The Industrial Revolution was a period of transition to new manufacturing processes from 1760 to 1840.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
7bc8b8ce-8bb5-4054-a96c-3bce9986a91f,"Summarize the following text:
Photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy that, through cellular respiration, can later be released to fuel the organism's activities.",Photosynthesis is how plants convert light into chemical energy.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
d154f558-4e0c-4f6e-bd76-82c8f4499333,"Summarize the following text:
The Great Wall of China is a series of fortifications that were built across the historical northern borders of ancient Chinese states and Imperial China as protection against various nomadic groups from the Eurasian Steppe.",The Great Wall of China is a historic fortification built to protect ancient China from nomadic invasions.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
4ae6c1cd-c6c2-433d-b143-c6bb7ad573d8,"Summarize the following text:
A black hole is a region of spacetime where gravity is so strong that nothing—no particles or even electromagnetic radiation such as light—can escape from it. The theory of general relativity predicts that a sufficiently compact mass can deform spacetime to form a black hole.",A black hole is an area of space with gravity so intense that not even light can escape.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
9c38815e-c9a4-4a3b-b704-d0a816eabc8e,"Summarize the following text:
Artificial intelligence is intelligence demonstrated by machines, as opposed to intelligence of humans and other animals. Example tasks in which this is done include speech recognition, computer vision, translation between (natural) languages, as well as other mappings of inputs.",AI is machine intelligence used for tasks like speech recognition and translation.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
2d99c34e-3ef3-4544-8060-1709548bfcfd,"Summarize the following text:
The Industrial Revolution, now also known as the First Industrial Revolution, was the transition to new manufacturing processes in Europe and the United States, in the period from about 1760 to sometime between 1820 and 1840.",The Industrial Revolution was a period of transition to new manufacturing processes from 1760 to 1840.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
f83ea38b-ee5b-40ca-b231-def11445082a,"Summarize the following text:
Photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy that, through cellular respiration, can later be released to fuel the organism's activities.",Photosynthesis is how plants convert light into chemical energy.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
7d4a2a1c-c50c-4c30-bc7e-923c699c4ef3,"Summarize the following text:
The Great Wall of China is a series of fortifications that were built across the historical northern borders of ancient Chinese states and Imperial China as protection against various nomadic groups from the Eurasian Steppe.",The Great Wall of China is a historic fortification built to protect ancient China from nomadic invasions.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
70077a0d-4f35-4e82-9b48-f81475bdaf46,"Summarize the following text:
A black hole is a region of spacetime where gravity is so strong that nothing—no particles or even electromagnetic radiation such as light—can escape from it. The theory of general relativity predicts that a sufficiently compact mass can deform spacetime to form a black hole.",A black hole is an area of space with gravity so intense that not even light can escape.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
9ced9d24-6e0a-48ce-8584-622938040e49,"Summarize the following text:
Artificial intelligence is intelligence demonstrated by machines, as opposed to intelligence of humans and other animals. Example tasks in which this is done include speech recognition, computer vision, translation between (natural) languages, as well as other mappings of inputs.",AI is machine intelligence used for tasks like speech recognition and translation.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
399d2d5e-edf6-480e-a0a6-aaaa0b5db9fc,"Summarize the following text:
The Industrial Revolution, now also known as the First Industrial Revolution, was the transition to new manufacturing processes in Europe and the United States, in the period from about 1760 to sometime between 1820 and 1840.",The Industrial Revolution was a period of transition to new manufacturing processes from 1760 to 1840.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
5cd424e5-ac12-4c11-bbf6-40b9ad57b334,"Summarize the following text:
Photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy that, through cellular respiration, can later be released to fuel the organism's activities.",Photosynthesis is how plants convert light into chemical energy.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
f70ad7d3-40db-4cba-a220-774097f29921,"Summarize the following text:
The Great Wall of China is a series of fortifications that were built across the historical northern borders of ancient Chinese states and Imperial China as protection against various nomadic groups from the Eurasian Steppe.",The Great Wall of China is a historic fortification built to protect ancient China from nomadic invasions.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
a3e36f3b-15de-44f4-8f00-e60e9d5dfcff,"Summarize the following text:
A black hole is a region of spacetime where gravity is so strong that nothing—no particles or even electromagnetic radiation such as light—can escape from it. The theory of general relativity predicts that a sufficiently compact mass can deform spacetime to form a black hole.",A black hole is an area of space with gravity so intense that not even light can escape.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
3c4e8749-8967-4df4-b7d1-b82b7d924f8d,"Summarize the following text:
Artificial intelligence is intelligence demonstrated by machines, as opposed to intelligence of humans and other animals. Example tasks in which this is done include speech recognition, computer vision, translation between (natural) languages, as well as other mappings of inputs.",AI is machine intelligence used for tasks like speech recognition and translation.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
2fcbbe48-7d2f-480f-9dfa-8a6e35770903,"Summarize the following text:
The Industrial Revolution, now also known as the First Industrial Revolution, was the transition to new manufacturing processes in Europe and the United States, in the period from about 1760 to sometime between 1820 and 1840.",The Industrial Revolution was a period of transition to new manufacturing processes from 1760 to 1840.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
981eff60-2413-44bb-bc51-35e4fb811a2c,"Summarize the following text:
Photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy that, through cellular respiration, can later be released to fuel the organism's activities.",Photosynthesis is how plants convert light into chemical energy.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
7ca0499a-a95c-4732-b604-047948d1ec6a,"Summarize the following text:
The Great Wall of China is a series of fortifications that were built across the historical northern borders of ancient Chinese states and Imperial China as protection against various nomadic groups from the Eurasian Steppe.",The Great Wall of China is a historic fortification built to protect ancient China from nomadic invasions.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
21cad476-7aaf-44d0-b70c-662891eff485,"Summarize the following text:
A black hole is a region of spacetime where gravity is so strong that nothing—no particles or even electromagnetic radiation such as light—can escape from it. The theory of general relativity predicts that a sufficiently compact mass can deform spacetime to form a black hole.",A black hole is an area of space with gravity so intense that not even light can escape.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
40bcf9a6-0665-4074-b960-c30266589fc8,"Classify the sentiment of the following text as positive, negative, or neutral: 'I absolutely loved this movie, the acting was phenomenal!'",positive,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""positive""]}"
03089458-90e3-4be2-87ef-276bdb9a7aec,"Classify the sentiment of the following text as positive, negative, or neutral: 'The product broke after just two days of use. Very disappointed.'",negative,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""negative""]}"
67b4fa2d-6ae1-4094-961c-5a7881a65f0e,"Classify the sentiment of the following text as positive, negative, or neutral: 'The delivery was on time and the package was intact.'",neutral,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""neutral""]}"
ca263ed6-1a0b-4d1b-afd0-73310d983d10,"Classify the sentiment of the following text as positive, negative, or neutral: 'Customer support was incredibly rude and unhelpful.'",negative,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""negative""]}"
e694913a-b0c6-4764-b9f0-29583c6aafc7,"Classify the sentiment of the following text as positive, negative, or neutral: 'This is the best software update they have ever released.'",positive,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""positive""]}"
778ffb4f-55be-4f24-ad95-37c075fc40eb,"Classify the sentiment of the following text as positive, negative, or neutral: 'The food was okay, nothing special but not bad either.'",neutral,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""neutral""]}"
884dc096-3706-4140-9368-0ea13a326703,"Classify the sentiment of the following text as positive, negative, or neutral: 'I highly recommend this book to anyone interested in history.'",positive,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""positive""]}"
8a99ce51-71e4-4037-886c-a6aa234207f6,"Classify the sentiment of the following text as positive, negative, or neutral: 'The battery life on this phone is absolutely terrible.'",negative,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""negative""]}"
e5a1451f-db17-4eef-935c-14ebe2c2cc71,"Classify the sentiment of the following text as positive, negative, or neutral: 'The color of the shirt is slightly darker than the picture.'",neutral,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""neutral""]}"
34eb67cb-d1f6-4360-9301-1f543f736cfa,"Classify the sentiment of the following text as positive, negative, or neutral: 'An amazing experience from start to finish. Will return!'",positive,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""positive""]}"
9def60ab-26ba-41e9-ade6-12589db30d16,"Classify the sentiment of the following text as positive, negative, or neutral: 'I absolutely loved this movie, the acting was phenomenal!'",positive,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""positive""]}"
6edc93c9-f7f5-46fa-9a02-da142a724cb2,"Classify the sentiment of the following text as positive, negative, or neutral: 'The product broke after just two days of use. Very disappointed.'",negative,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""negative""]}"
378aa371-ffca-4fd1-929b-4c2aac122daf,"Classify the sentiment of the following text as positive, negative, or neutral: 'The delivery was on time and the package was intact.'",neutral,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""neutral""]}"
f74757e4-90da-4dfe-a455-5d93c345b6d5,"Classify the sentiment of the following text as positive, negative, or neutral: 'Customer support was incredibly rude and unhelpful.'",negative,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""negative""]}"
ebf13349-ad66-4d0a-ab57-071f204f7eba,"Classify the sentiment of the following text as positive, negative, or neutral: 'This is the best software update they have ever released.'",positive,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""positive""]}"
eb9a3549-e3b1-45d6-b750-a457dd3065c4,"Classify the sentiment of the following text as positive, negative, or neutral: 'The food was okay, nothing special but not bad either.'",neutral,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""neutral""]}"
fcbdcc8c-ea47-4041-8af5-7df895e36a7f,"Classify the sentiment of the following text as positive, negative, or neutral: 'I highly recommend this book to anyone interested in history.'",positive,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""positive""]}"
c6fb0b98-c6db-4d80-9efc-4b1af7db9dea,"Classify the sentiment of the following text as positive, negative, or neutral: 'The battery life on this phone is absolutely terrible.'",negative,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""negative""]}"
b2c9e9a1-18ed-4553-9b12-3e2cac74f019,"Classify the sentiment of the following text as positive, negative, or neutral: 'The color of the shirt is slightly darker than the picture.'",neutral,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""neutral""]}"
942c45b9-ab6e-4c05-a9fe-443d0c004ac9,"Classify the sentiment of the following text as positive, negative, or neutral: 'An amazing experience from start to finish. Will return!'",positive,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""positive""]}"
d8c74b7c-740d-4705-84d2-ebdf2454f412,"Classify the sentiment of the following text as positive, negative, or neutral: 'I absolutely loved this movie, the acting was phenomenal!'",positive,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""positive""]}"
2586a997-3434-40a1-a594-4f98c5a4ac51,"Classify the sentiment of the following text as positive, negative, or neutral: 'The product broke after just two days of use. Very disappointed.'",negative,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""negative""]}"
525197a6-1d9c-47b3-8cb8-1c3c526345f5,"Classify the sentiment of the following text as positive, negative, or neutral: 'The delivery was on time and the package was intact.'",neutral,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""neutral""]}"
c93f7185-6b05-42ec-9e52-326c028ebc9b,"Classify the sentiment of the following text as positive, negative, or neutral: 'Customer support was incredibly rude and unhelpful.'",negative,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""negative""]}"
961a10f8-361d-4506-8588-3d428f4830de,"Classify the sentiment of the following text as positive, negative, or neutral: 'This is the best software update they have ever released.'",positive,,classification,"{""difficulty"": ""easy"", ""tags"": [""sentiment_analysis"", ""positive""]}"
91d79deb-695f-45f7-b49b-6dd55605333e,What is the learning rate used for the base model?,The learning rate used for the base model is 2e-5.,"The base LLM was trained using AdamW optimizer with a learning rate of 2e-5, a weight decay of 0.01, and a batch size of 256.",rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
13085f32-6f98-42a5-9cde-03be64f1ef76,What are the allowed reimbursement categories for travel?,"The allowed reimbursement categories are flights, standard hotel accommodations, and daily meals up to $50.","According to the 2024 Travel Policy, employees can claim reimbursements for flights, standard hotel accommodations, and daily meals up to $50. Alcohol and entertainment are not covered.",rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
0ed877bc-841b-4d48-8e60-53256f3a6746,How do I reset the admin password?,"To reset the admin password, run the 'reset_admin.sh' script in the settings directory and provide the master key.","To reset the admin password, navigate to the settings directory, run the script 'reset_admin.sh', and enter the master key when prompted.",rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
b4817fbe-678d-4155-8583-b5fad2b1061d,What metric is used to evaluate factual accuracy?,Faithfulness is used to evaluate factual accuracy by measuring how grounded the answer is in the provided context.,"In our evaluation pipeline, Faithfulness is used to measure how grounded the answer is in the provided context, while Hallucination measures unsupported claims. RAGAS provides the primary scoring framework.",rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
62b276e5-e713-4376-b16d-b51dcbefea75,What is the maximum token limit for the embeddings API?,The maximum token limit for the embeddings API is 8191 tokens.,The text-embedding-ada-002 model accepts a maximum of 8191 input tokens per request. Exceeding this limit will result in an API error.,rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
14f42cf6-c748-4546-bf90-1eea3316f42f,What is the learning rate used for the base model?,The learning rate used for the base model is 2e-5.,"The base LLM was trained using AdamW optimizer with a learning rate of 2e-5, a weight decay of 0.01, and a batch size of 256.",rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
1da4e7a9-8602-4453-9464-6d0bf80cb38e,What are the allowed reimbursement categories for travel?,"The allowed reimbursement categories are flights, standard hotel accommodations, and daily meals up to $50.","According to the 2024 Travel Policy, employees can claim reimbursements for flights, standard hotel accommodations, and daily meals up to $50. Alcohol and entertainment are not covered.",rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
38914521-c402-48d1-8bc0-f7baf5cc94e4,How do I reset the admin password?,"To reset the admin password, run the 'reset_admin.sh' script in the settings directory and provide the master key.","To reset the admin password, navigate to the settings directory, run the script 'reset_admin.sh', and enter the master key when prompted.",rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
3b450cc0-eae9-4d0c-8dfc-8495094efbec,What metric is used to evaluate factual accuracy?,Faithfulness is used to evaluate factual accuracy by measuring how grounded the answer is in the provided context.,"In our evaluation pipeline, Faithfulness is used to measure how grounded the answer is in the provided context, while Hallucination measures unsupported claims. RAGAS provides the primary scoring framework.",rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
31083b5e-8c7f-4752-bf3a-ae963b495567,What is the maximum token limit for the embeddings API?,The maximum token limit for the embeddings API is 8191 tokens.,The text-embedding-ada-002 model accepts a maximum of 8191 input tokens per request. Exceeding this limit will result in an API error.,rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
43eed1f6-ace1-40bc-921a-2efe7470e5e3,What is the learning rate used for the base model?,The learning rate used for the base model is 2e-5.,"The base LLM was trained using AdamW optimizer with a learning rate of 2e-5, a weight decay of 0.01, and a batch size of 256.",rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
88285eed-2c30-4a0f-a56c-a0452ec40d0a,What are the allowed reimbursement categories for travel?,"The allowed reimbursement categories are flights, standard hotel accommodations, and daily meals up to $50.","According to the 2024 Travel Policy, employees can claim reimbursements for flights, standard hotel accommodations, and daily meals up to $50. Alcohol and entertainment are not covered.",rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
88566462-b19b-4d4e-a304-f6863d15a59d,How do I reset the admin password?,"To reset the admin password, run the 'reset_admin.sh' script in the settings directory and provide the master key.","To reset the admin password, navigate to the settings directory, run the script 'reset_admin.sh', and enter the master key when prompted.",rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
49c7bd98-6b7d-4e72-b45f-bcfd59f12197,What metric is used to evaluate factual accuracy?,Faithfulness is used to evaluate factual accuracy by measuring how grounded the answer is in the provided context.,"In our evaluation pipeline, Faithfulness is used to measure how grounded the answer is in the provided context, while Hallucination measures unsupported claims. RAGAS provides the primary scoring framework.",rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
038b35a5-6f93-4624-a218-1317282b0ee4,What is the maximum token limit for the embeddings API?,The maximum token limit for the embeddings API is 8191 tokens.,The text-embedding-ada-002 model accepts a maximum of 8191 input tokens per request. Exceeding this limit will result in an API error.,rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
659cc55b-65bc-406d-bb69-488008114a52,What is the learning rate used for the base model?,The learning rate used for the base model is 2e-5.,"The base LLM was trained using AdamW optimizer with a learning rate of 2e-5, a weight decay of 0.01, and a batch size of 256.",rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
8b6aa353-f30f-4780-aec0-b0ece2bf20f8,What are the allowed reimbursement categories for travel?,"The allowed reimbursement categories are flights, standard hotel accommodations, and daily meals up to $50.","According to the 2024 Travel Policy, employees can claim reimbursements for flights, standard hotel accommodations, and daily meals up to $50. Alcohol and entertainment are not covered.",rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
849f6ba4-ee11-4954-919c-7bf37a36785e,How do I reset the admin password?,"To reset the admin password, run the 'reset_admin.sh' script in the settings directory and provide the master key.","To reset the admin password, navigate to the settings directory, run the script 'reset_admin.sh', and enter the master key when prompted.",rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
9b1fb91a-6801-4d31-9e22-d7dee704d25e,What metric is used to evaluate factual accuracy?,Faithfulness is used to evaluate factual accuracy by measuring how grounded the answer is in the provided context.,"In our evaluation pipeline, Faithfulness is used to measure how grounded the answer is in the provided context, while Hallucination measures unsupported claims. RAGAS provides the primary scoring framework.",rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
a51c002c-dcad-4b71-815e-bf1f80f89e1d,What is the maximum token limit for the embeddings API?,The maximum token limit for the embeddings API is 8191 tokens.,The text-embedding-ada-002 model accepts a maximum of 8191 input tokens per request. Exceeding this limit will result in an API error.,rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
ee7e58c3-62f0-445f-b095-386607572363,What is the learning rate used for the base model?,The learning rate used for the base model is 2e-5.,"The base LLM was trained using AdamW optimizer with a learning rate of 2e-5, a weight decay of 0.01, and a batch size of 256.",rag,"{""difficulty"": ""hard"", ""tags"": [""rag"", ""grounding"", ""faithfulness""]}"
